,realtime_start,realtime_end,date,value,delta column,,
169,1/11/22,1/11/22,2/1/96,2.8805479,0.0057217,,
170,1/11/22,1/11/22,3/1/96,2.9718373,0.0912894,,
171,1/11/22,1/11/22,4/1/96,3.0706824,0.0988451,,
172,1/11/22,1/11/22,5/1/96,3.2061012,0.1354188,,
173,1/11/22,1/11/22,6/1/96,3.2843339,0.0782327,,
174,1/11/22,1/11/22,7/1/96,3.1962466,0.0880873,,
175,1/11/22,1/11/22,8/1/96,3.2042193,0.0079727,,
176,1/11/22,1/11/22,9/1/96,3.2752392,0.0710199,,
177,1/11/22,1/11/22,10/1/96,3.2094561,0.0657831,,
178,1/11/22,1/11/22,11/1/96,3.1489546,0.0605015,,
179,1/11/22,1/11/22,12/1/96,3.0220262,0.1269284,,
180,1/11/22,1/11/22,1/1/97,3.1856403,0.1636141,,
181,1/11/22,1/11/22,2/1/97,3.1838722,0.0017681,,
182,1/11/22,1/11/22,3/1/97,3.1925173,0.0086451,,
183,1/11/22,1/11/22,4/1/97,3.2889213,0.096404,,
184,1/11/22,1/11/22,5/1/97,3.2361152,0.0528061,,
185,1/11/22,1/11/22,6/1/97,3.2298343,0.0062809,,
186,1/11/22,1/11/22,7/1/97,3.1475062,0.0823281,,
187,1/11/22,1/11/22,8/1/97,3.1049529,0.0425533,,
188,1/11/22,1/11/22,9/1/97,3.1017267,0.0032262,,
189,1/11/22,1/11/22,10/1/97,3.0858114,0.0159153,,
190,1/11/22,1/11/22,11/1/97,3.0686689,0.0171425,,
191,1/11/22,1/11/22,12/1/97,2.9822237,0.0864452,,
192,1/11/22,1/11/22,1/1/98,2.9571113,0.0251124,,
193,1/11/22,1/11/22,2/1/98,2.9319169,0.0251944,,
194,1/11/22,1/11/22,3/1/98,2.9441936,0.0122767,,
195,1/11/22,1/11/22,4/1/98,2.9363848,0.0078088,,
196,1/11/22,1/11/22,5/1/98,2.9820842,0.0456994,,
197,1/11/22,1/11/22,6/1/98,2.9390768,0.0430074,,
198,1/11/22,1/11/22,7/1/98,2.9393587,0.0002819,,
199,1/11/22,1/11/22,8/1/98,2.929398,0.0099607,,
200,1/11/22,1/11/22,9/1/98,2.7900002,0.1393978,,
201,1/11/22,1/11/22,10/1/98,2.5233646,0.2666356,,
202,1/11/22,1/11/22,11/1/98,2.6387795,0.1154149,,
203,1/11/22,1/11/22,12/1/98,2.6027098,0.0360697,,
204,1/11/22,1/11/22,1/1/99,2.6713034,0.0685936,,
205,1/11/22,1/11/22,2/1/99,2.7023039,0.0310005,,
206,1/11/22,1/11/22,3/1/99,2.8234877,0.1211838,,
207,1/11/22,1/11/22,4/1/99,2.8282646,0.0047769,,
208,1/11/22,1/11/22,5/1/99,2.8736136,0.045349,,
209,1/11/22,1/11/22,6/1/99,2.9580206,0.084407,,
210,1/11/22,1/11/22,7/1/99,3.0051763,0.0471557,,
211,1/11/22,1/11/22,8/1/99,3.0416103,0.036434,,
212,1/11/22,1/11/22,9/1/99,3.079371,0.0377607,,
213,1/11/22,1/11/22,10/1/99,3.1078989,0.0285279,,
214,1/11/22,1/11/22,11/1/99,3.1147291,0.0068302,,
215,1/11/22,1/11/22,12/1/99,3.1655975,0.0508684,,
216,1/11/22,1/11/22,1/1/00,3.2126516,0.0470541,,
217,1/11/22,1/11/22,2/1/00,3.2716446,0.058993,,
218,1/11/22,1/11/22,3/1/00,3.2498615,0.0217831,,
219,1/11/22,1/11/22,4/1/00,3.1258905,0.123971,,
220,1/11/22,1/11/22,5/1/00,3.1981089,0.0722184,,
221,1/11/22,1/11/22,6/1/00,3.2329537,0.0348448,,
222,1/11/22,1/11/22,7/1/00,3.0533313,0.1796224,,
223,1/11/22,1/11/22,8/1/00,3.0312058,0.0221255,,
224,1/11/22,1/11/22,9/1/00,2.9647909,0.0664149,,
225,1/11/22,1/11/22,10/1/00,2.9437164,0.0210745,,
226,1/11/22,1/11/22,11/1/00,2.9416401,0.0020763,,
227,1/11/22,1/11/22,12/1/00,2.8733673,0.0682728,,
228,1/11/22,1/11/22,1/1/01,2.6034959,0.2698714,,
229,1/11/22,1/11/22,2/1/01,2.7057933,0.1022974,,
230,1/11/22,1/11/22,3/1/01,2.6003036,0.1054897,,
231,1/11/22,1/11/22,4/1/01,2.6615774,0.0612738,,
232,1/11/22,1/11/22,5/1/01,2.8049112,0.1433338,,
233,1/11/22,1/11/22,6/1/01,2.8766237,0.0717125,,
234,1/11/22,1/11/22,7/1/01,2.8442856,0.0323381,,
235,1/11/22,1/11/22,8/1/01,2.747592,0.0966936,,
236,1/11/22,1/11/22,9/1/01,2.7817915,0.0341995,,
237,1/11/22,1/11/22,10/1/01,2.6317991,0.1499924,,
238,1/11/22,1/11/22,11/1/01,2.5312137,0.1005854,,
239,1/11/22,1/11/22,12/1/01,2.7120479,0.1808342,,
240,1/11/22,1/11/22,1/1/02,2.8553311,0.1432832,,
241,1/11/22,1/11/22,2/1/02,2.7968914,0.0584397,,
242,1/11/22,1/11/22,3/1/02,2.7951438,0.0017476,,
243,1/11/22,1/11/22,4/1/02,2.9792551,0.1841113,,
244,1/11/22,1/11/22,5/1/02,2.8460744,0.1331807,,
245,1/11/22,1/11/22,6/1/02,2.8047216,0.0413528,,
246,1/11/22,1/11/22,7/1/02,2.7358389,0.0688827,,
247,1/11/22,1/11/22,8/1/02,2.531779,0.2040599,,
248,1/11/22,1/11/22,9/1/02,2.3895553,0.1422237,,
249,1/11/22,1/11/22,10/1/02,2.3101835,0.0793718,,
250,1/11/22,1/11/22,11/1/02,2.3717912,0.0616077,,
251,1/11/22,1/11/22,12/1/02,2.4875401,0.1157489,,
252,1/11/22,1/11/22,1/1/03,2.4108174,0.0767227,,
253,1/11/22,1/11/22,2/1/03,2.4112355,0.0004181,,
254,1/11/22,1/11/22,3/1/03,2.2798488,0.1313867,,
255,1/11/22,1/11/22,4/1/03,2.3069603,0.0271115,,
256,1/11/22,1/11/22,5/1/03,2.3136372,0.0066769,,
257,1/11/22,1/11/22,6/1/03,2.1822159,0.1314213,,
258,1/11/22,1/11/22,7/1/03,2.2044109,0.022195,,
259,1/11/22,1/11/22,8/1/03,2.4591668,0.2547559,,
260,1/11/22,1/11/22,9/1/03,2.5436754,0.0845086,,
261,1/11/22,1/11/22,10/1/03,2.309369,0.2343064,,
262,1/11/22,1/11/22,11/1/03,2.4581108,0.1487418,,
263,1/11/22,1/11/22,12/1/03,2.5094714,0.0513606,,
264,1/11/22,1/11/22,1/1/04,2.4810995,0.0283719,,
265,1/11/22,1/11/22,2/1/04,2.4441096,0.0369899,,
266,1/11/22,1/11/22,3/1/04,2.3678409,0.0762687,,
267,1/11/22,1/11/22,4/1/04,2.3429567,0.0248842,,
268,1/11/22,1/11/22,5/1/04,2.5847383,0.2417816,,
269,1/11/22,1/11/22,6/1/04,2.6648141,0.0800758,,
270,1/11/22,1/11/22,7/1/04,2.6216976,0.0431165,,
271,1/11/22,1/11/22,8/1/04,2.5920939,0.0296037,,
272,1/11/22,1/11/22,9/1/04,2.4824742,0.1096197,,
273,1/11/22,1/11/22,10/1/04,2.4971852,0.014711,,
274,1/11/22,1/11/22,11/1/04,2.4566269,0.0405583,,
275,1/11/22,1/11/22,12/1/04,2.5051409,0.048514,,
276,1/11/22,1/11/22,1/1/05,2.5100173,0.0048764,,
277,1/11/22,1/11/22,2/1/05,2.5102561,0.0002388,,
278,1/11/22,1/11/22,3/1/05,2.5879503,0.0776942,,
279,1/11/22,1/11/22,4/1/05,2.6216177,0.0336674,,
280,1/11/22,1/11/22,5/1/05,2.517521,0.1040967,,
281,1/11/22,1/11/22,6/1/05,2.4344919,0.0830291,,
282,1/11/22,1/11/22,7/1/05,2.4881803,0.0536884,,
283,1/11/22,1/11/22,8/1/05,2.5736033,0.085423,,
284,1/11/22,1/11/22,9/1/05,2.4731671,0.1004362,,
285,1/11/22,1/11/22,10/1/05,2.6208315,0.1476644,,
286,1/11/22,1/11/22,11/1/05,2.6323855,0.011554,,
287,1/11/22,1/11/22,12/1/05,2.6210899,0.0112956,,
288,1/11/22,1/11/22,1/1/06,2.5514917,0.0695982,,
289,1/11/22,1/11/22,2/1/06,2.6009027,0.049411,,
290,1/11/22,1/11/22,3/1/06,2.5957146,0.0051881,,
291,1/11/22,1/11/22,4/1/06,2.6865223,0.0908077,,
292,1/11/22,1/11/22,5/1/06,2.7118575,0.0253352,,
293,1/11/22,1/11/22,6/1/06,2.7185982,0.0067407,,
294,1/11/22,1/11/22,7/1/06,2.764009,0.0454108,,
295,1/11/22,1/11/22,8/1/06,2.6731465,0.0908625,,
296,1/11/22,1/11/22,9/1/06,2.5937904,0.0793561,,
297,1/11/22,1/11/22,10/1/06,2.5785058,0.0152846,,
298,1/11/22,1/11/22,11/1/06,2.5065638,0.071942,,
299,1/11/22,1/11/22,12/1/06,2.4757836,0.0307802,,
300,1/11/22,1/11/22,1/1/07,2.6058472,0.1300636,,
301,1/11/22,1/11/22,2/1/07,2.6454116,0.0395644,,
302,1/11/22,1/11/22,3/1/07,2.5414765,0.1039351,,
303,1/11/22,1/11/22,4/1/07,2.5617018,0.0202253,,
304,1/11/22,1/11/22,5/1/07,2.5952088,0.033507,,
305,1/11/22,1/11/22,6/1/07,2.7068347,0.1116259,,
306,1/11/22,1/11/22,7/1/07,2.7041445,0.0026902,,
307,1/11/22,1/11/22,8/1/07,2.5746703,0.1294742,,
308,1/11/22,1/11/22,9/1/07,2.5150229,0.0596474,,
309,1/11/22,1/11/22,10/1/07,2.5656222,0.0505993,,
310,1/11/22,1/11/22,11/1/07,2.4858802,0.079742,,
311,1/11/22,1/11/22,12/1/07,2.2948472,0.191033,,
312,1/11/22,1/11/22,1/1/08,2.3253074,0.0304602,,
313,1/11/22,1/11/22,2/1/08,2.2551014,0.070206,,
314,1/11/22,1/11/22,3/1/08,2.1583562,0.0967452,,
315,1/11/22,1/11/22,4/1/08,2.2086404,0.0502842,,
316,1/11/22,1/11/22,5/1/08,2.3833268,0.1746864,,
317,1/11/22,1/11/22,6/1/08,2.4300876,0.0467608,,
318,1/11/22,1/11/22,7/1/08,2.4556192,0.0255316,,
319,1/11/22,1/11/22,8/1/08,2.4575618,0.0019426,,
320,1/11/22,1/11/22,9/1/08,2.3544129,0.1031489,,
321,1/11/22,1/11/22,10/1/08,2.309814,0.0445989,,
322,1/11/22,1/11/22,11/1/08,2.2556121,0.0542019,,
323,1/11/22,1/11/22,12/1/08,1.9213269,0.3342852,,
324,1/11/22,1/11/22,1/1/09,1.9503585,0.0290316,,
325,1/11/22,1/11/22,2/1/09,1.9950727,0.0447142,,
326,1/11/22,1/11/22,3/1/09,1.997824,0.0027513,,
327,1/11/22,1/11/22,4/1/09,1.9881675,0.0096565,,
328,1/11/22,1/11/22,5/1/09,2.1216951,0.1335276,,
329,1/11/22,1/11/22,6/1/09,2.2465067,0.1248116,,
330,1/11/22,1/11/22,7/1/09,2.266313,0.0198063,,
331,1/11/22,1/11/22,8/1/09,2.2921113,0.0257983,,
332,1/11/22,1/11/22,9/1/09,2.2602739,0.0318374,,
333,1/11/22,1/11/22,10/1/09,2.1944791,0.0657948,,
334,1/11/22,1/11/22,11/1/09,2.2440228,0.0495437,,
335,1/11/22,1/11/22,12/1/09,2.147489,0.0965338,,
336,1/11/22,1/11/22,1/1/10,2.3055272,0.1580382,,
337,1/11/22,1/11/22,2/1/10,2.242172,0.0633552,,
338,1/11/22,1/11/22,3/1/10,2.2251563,0.0170157,,
339,1/11/22,1/11/22,4/1/10,2.284871,0.0597147,,
340,1/11/22,1/11/22,5/1/10,2.2526444,0.0322266,,
341,1/11/22,1/11/22,6/1/10,2.1418565,0.1107879,,
342,1/11/22,1/11/22,7/1/10,2.0307201,0.1111364,,
343,1/11/22,1/11/22,8/1/10,1.9985658,0.0321543,,
344,1/11/22,1/11/22,9/1/10,1.9084262,0.0901396,,
345,1/11/22,1/11/22,10/1/10,1.8859458,0.0224804,,
346,1/11/22,1/11/22,11/1/10,1.8618168,0.024129,,
347,1/11/22,1/11/22,12/1/10,1.980669,0.1188522,,
348,1/11/22,1/11/22,1/1/11,2.1547907,0.1741217,,
349,1/11/22,1/11/22,2/1/11,2.1675117,0.012721,,
350,1/11/22,1/11/22,3/1/11,2.208956,0.0414443,,
351,1/11/22,1/11/22,4/1/11,2.2515181,0.0425621,,
352,1/11/22,1/11/22,5/1/11,2.1905744,0.0609437,,
