,realtime_start,realtime_end,date,value
308,2022-01-11,2022-01-11,2007-09-01,2.5150229
309,2022-01-11,2022-01-11,2007-10-01,2.5656222
310,2022-01-11,2022-01-11,2007-11-01,2.4858802
311,2022-01-11,2022-01-11,2007-12-01,2.2948472
312,2022-01-11,2022-01-11,2008-01-01,2.3253074
313,2022-01-11,2022-01-11,2008-02-01,2.2551014
314,2022-01-11,2022-01-11,2008-03-01,2.1583562
315,2022-01-11,2022-01-11,2008-04-01,2.2086404
316,2022-01-11,2022-01-11,2008-05-01,2.3833268
317,2022-01-11,2022-01-11,2008-06-01,2.4300876
318,2022-01-11,2022-01-11,2008-07-01,2.4556192
319,2022-01-11,2022-01-11,2008-08-01,2.4575618
320,2022-01-11,2022-01-11,2008-09-01,2.3544129
321,2022-01-11,2022-01-11,2008-10-01,2.309814
322,2022-01-11,2022-01-11,2008-11-01,2.2556121
323,2022-01-11,2022-01-11,2008-12-01,1.9213269
324,2022-01-11,2022-01-11,2009-01-01,1.9503585
325,2022-01-11,2022-01-11,2009-02-01,1.9950727
326,2022-01-11,2022-01-11,2009-03-01,1.997824
327,2022-01-11,2022-01-11,2009-04-01,1.9881675
328,2022-01-11,2022-01-11,2009-05-01,2.1216951
329,2022-01-11,2022-01-11,2009-06-01,2.2465067
330,2022-01-11,2022-01-11,2009-07-01,2.266313
331,2022-01-11,2022-01-11,2009-08-01,2.2921113
332,2022-01-11,2022-01-11,2009-09-01,2.2602739
333,2022-01-11,2022-01-11,2009-10-01,2.1944791
334,2022-01-11,2022-01-11,2009-11-01,2.2440228
335,2022-01-11,2022-01-11,2009-12-01,2.147489
336,2022-01-11,2022-01-11,2010-01-01,2.3055272
337,2022-01-11,2022-01-11,2010-02-01,2.242172
338,2022-01-11,2022-01-11,2010-03-01,2.2251563
339,2022-01-11,2022-01-11,2010-04-01,2.284871
340,2022-01-11,2022-01-11,2010-05-01,2.2526444
341,2022-01-11,2022-01-11,2010-06-01,2.1418565
342,2022-01-11,2022-01-11,2010-07-01,2.0307201
343,2022-01-11,2022-01-11,2010-08-01,1.9985658
344,2022-01-11,2022-01-11,2010-09-01,1.9084262
345,2022-01-11,2022-01-11,2010-10-01,1.8859458
346,2022-01-11,2022-01-11,2010-11-01,1.8618168
347,2022-01-11,2022-01-11,2010-12-01,1.980669
